,Weight,1M_Return,Weighted_Contribution
HDFCBANK.NS,0.0,-0.0017962157836756143,-0.0
ICICIBANK.NS,0.2507924810158849,-0.02165310129816389,-0.0054304349962548005
INFY.NS,0.5944661443250798,0.021739130434782705,0.01292317705054527
RELIANCE.NS,0.15474137465903526,-0.013472942925015219,-0.002084821708919578
TCS.NS,0.0,0.018669816117708127,0.0
