Stock,Weight
MARUTI.NS,0.58956
HEROMOTOCO.NS,0.14305
HINDALCO.NS,0.08302
MUTHOOTFIN.NS,0.07573
EICHERMOT.NS,0.05689
SBIN.NS,0.03027
CUMMINSIND.NS,0.02148
